All Method Calls (7415)

<at.bestsolution.ext.swing.icon.SolidColoredIcon; addChangeListener[javax.swing.event.ChangeListener]; void; at.bestsolution.ext.swing.AlphaColorJButton; AlphaColorJButton[java.awt.Color, int, int, int, int]; void; null; fill_icon_>
<at.bestsolution.ext.swing.icon.IIconFactory; getGradientIcon[java.lang.String]; at.bestsolution.ext.swing.icon.GradientIcon; at.bestsolution.ext.swing.GradientJRadioButtonMenuItem; GradientJRadioButtonMenuItem[at.bestsolution.ext.swing.icon.IIconFactory, java.lang.String]; void; null; icon_provider>
<at.bestsolution.ext.swing.icon.GradientIcon; addChangeListener[javax.swing.event.ChangeListener]; void; at.bestsolution.ext.swing.GradientJRadioButtonMenuItem; GradientJRadioButtonMenuItem[at.bestsolution.ext.swing.icon.IIconFactory, java.lang.String]; void; null; gradient_icon_>
<javax.swing.AbstractButton; setIcon[javax.swing.Icon]; void; at.bestsolution.ext.swing.GradientJRadioButtonMenuItem; GradientJRadioButtonMenuItem[at.bestsolution.ext.swing.icon.IIconFactory, java.lang.String]; void; null; this>
<javax.swing.AbstractButton; addActionListener[java.awt.event.ActionListener]; void; at.bestsolution.ext.swing.GradientJRadioButtonMenuItem; GradientJRadioButtonMenuItem[at.bestsolution.ext.swing.icon.IIconFactory, java.lang.String]; void; null; this>
<javax.swing.AbstractButton; fireStateChanged[]; void; at.bestsolution.ext.swing.GradientJRadioButtonMenuItem; stateChanged[javax.swing.event.ChangeEvent]; void; null; this>
<java.awt.Component; repaint[]; void; at.bestsolution.ext.swing.GradientJRadioButtonMenuItem; stateChanged[javax.swing.event.ChangeEvent]; void; null; this>
<at.bestsolution.ext.swing.dialog.JGradientChooser; getInstance[]; at.bestsolution.ext.swing.dialog.JGradientChooser; at.bestsolution.ext.swing.GradientJRadioButtonMenuItem; actionPerformed[java.awt.event.ActionEvent]; void; null; JGradientChooser>
<java.awt.Dialog; setTitle[java.lang.String]; void; at.bestsolution.ext.swing.GradientJRadioButtonMenuItem; actionPerformed[java.awt.event.ActionEvent]; void; null; chooser>
<at.bestsolution.ext.swing.dialog.JGradientChooser; setChangeListenerIcon[javax.swing.event.ChangeListener]; void; at.bestsolution.ext.swing.GradientJRadioButtonMenuItem; actionPerformed[java.awt.event.ActionEvent]; void; null; chooser>
<java.awt.Dialog; show[]; void; at.bestsolution.ext.swing.GradientJRadioButtonMenuItem; actionPerformed[java.awt.event.ActionEvent]; void; null; chooser>
<at.bestsolution.ext.swing.icon.GradientIcon; getGradient[]; org.apache.batik.ext.awt.MultipleGradientPaint; at.bestsolution.ext.swing.GradientJRadioButtonMenuItem; getGradient[]; org.apache.batik.ext.awt.MultipleGradientPaint; null; gradient_icon_>
<at.bestsolution.ext.swing.icon.SolidColoredIcon; addChangeListener[javax.swing.event.ChangeListener]; void; at.bestsolution.ext.swing.AlphaColorJMenuItem; AlphaColorJMenuItem[java.awt.Color, int, int, int, int]; void; null; fill_icon_>
<javax.swing.AbstractButton; setIcon[javax.swing.Icon]; void; at.bestsolution.ext.swing.AlphaColorJMenuItem; AlphaColorJMenuItem[java.awt.Color, int, int, int, int]; void; null; this>
<javax.swing.AbstractButton; addActionListener[java.awt.event.ActionListener]; void; at.bestsolution.ext.swing.AlphaColorJMenuItem; AlphaColorJMenuItem[java.awt.Color, int, int, int, int]; void; null; this>
<at.bestsolution.ext.swing.icon.IIconFactory; getSolidColorIcon[java.lang.String]; at.bestsolution.ext.swing.icon.SolidColoredIcon; at.bestsolution.ext.swing.AlphaColorJMenuItem; AlphaColorJMenuItem[at.bestsolution.ext.swing.icon.IIconFactory, java.lang.String, java.awt.Color]; void; null; icon_provider>
<at.bestsolution.ext.swing.icon.SolidColoredIcon; addChangeListener[javax.swing.event.ChangeListener]; void; at.bestsolution.ext.swing.AlphaColorJMenuItem; AlphaColorJMenuItem[at.bestsolution.ext.swing.icon.IIconFactory, java.lang.String, java.awt.Color]; void; null; fill_icon_>
<at.bestsolution.ext.swing.icon.SolidColoredIcon; setFillColor[java.awt.Color]; void; at.bestsolution.ext.swing.AlphaColorJMenuItem; AlphaColorJMenuItem[at.bestsolution.ext.swing.icon.IIconFactory, java.lang.String, java.awt.Color]; void; null; fill_icon_>
<javax.swing.AbstractButton; setIcon[javax.swing.Icon]; void; at.bestsolution.ext.swing.AlphaColorJMenuItem; AlphaColorJMenuItem[at.bestsolution.ext.swing.icon.IIconFactory, java.lang.String, java.awt.Color]; void; null; this>
<javax.swing.AbstractButton; addActionListener[java.awt.event.ActionListener]; void; at.bestsolution.ext.swing.AlphaColorJMenuItem; AlphaColorJMenuItem[at.bestsolution.ext.swing.icon.IIconFactory, java.lang.String, java.awt.Color]; void; null; this>
<javax.swing.AbstractButton; fireStateChanged[]; void; at.bestsolution.ext.swing.AlphaColorJMenuItem; stateChanged[javax.swing.event.ChangeEvent]; void; null; this>
<java.awt.Component; repaint[]; void; at.bestsolution.ext.swing.AlphaColorJMenuItem; stateChanged[javax.swing.event.ChangeEvent]; void; null; this>
<at.bestsolution.ext.swing.dialog.AlphaColorChooser; getInstance[]; at.bestsolution.ext.swing.dialog.AlphaColorChooser; at.bestsolution.ext.swing.AlphaColorJMenuItem; actionPerformed[java.awt.event.ActionEvent]; void; null; AlphaColorChooser>
<java.awt.Dialog; setTitle[java.lang.String]; void; at.bestsolution.ext.swing.AlphaColorJMenuItem; actionPerformed[java.awt.event.ActionEvent]; void; null; color_chooser>
<at.bestsolution.ext.swing.dialog.AlphaColorChooser; setChangeListener[javax.swing.event.ChangeListener]; void; at.bestsolution.ext.swing.AlphaColorJMenuItem; actionPerformed[java.awt.event.ActionEvent]; void; null; color_chooser>
<at.bestsolution.ext.swing.dialog.AlphaColorChooser; setColor[java.awt.Color]; void; at.bestsolution.ext.swing.AlphaColorJMenuItem; actionPerformed[java.awt.event.ActionEvent]; void; null; color_chooser>
<at.bestsolution.ext.swing.icon.SolidColoredIcon; getColor[]; java.awt.Color; at.bestsolution.ext.swing.AlphaColorJMenuItem; actionPerformed[java.awt.event.ActionEvent]; void; null; ((SolidColoredIcon)getIcon())>
<javax.swing.AbstractButton; getIcon[]; javax.swing.Icon; at.bestsolution.ext.swing.AlphaColorJMenuItem; actionPerformed[java.awt.event.ActionEvent]; void; getColor[]; this>
<java.awt.Dialog; show[]; void; at.bestsolution.ext.swing.AlphaColorJMenuItem; actionPerformed[java.awt.event.ActionEvent]; void; null; color_chooser>
<at.bestsolution.ext.swing.icon.SolidColoredIcon; getColor[]; java.awt.Color; at.bestsolution.ext.swing.AlphaColorJMenuItem; getColor[]; java.awt.Color; null; ((SolidColoredIcon)getIcon())>
<javax.swing.AbstractButton; getIcon[]; javax.swing.Icon; at.bestsolution.ext.swing.AlphaColorJMenuItem; getColor[]; java.awt.Color; getColor[]; this>
<java.awt.Dialog; setTitle[java.lang.String]; void; at.bestsolution.ext.swing.dialog.AlphaColorChooser; AlphaColorChooser[java.lang.String, java.awt.Color]; void; null; this>
<java.awt.Dialog; setModal[boolean]; void; at.bestsolution.ext.swing.dialog.AlphaColorChooser; AlphaColorChooser[java.lang.String, java.awt.Color]; void; null; this>
<javax.swing.colorchooser.ColorSelectionModel; addChangeListener[javax.swing.event.ChangeListener]; void; at.bestsolution.ext.swing.dialog.AlphaColorChooser; AlphaColorChooser[java.lang.String, java.awt.Color]; void; null; color_chooser_.getSelectionModel()>
<javax.swing.JColorChooser; getSelectionModel[]; javax.swing.colorchooser.ColorSelectionModel; at.bestsolution.ext.swing.dialog.AlphaColorChooser; AlphaColorChooser[java.lang.String, java.awt.Color]; void; addChangeListener[javax.swing.event.ChangeListener]; color_chooser_>
<java.awt.Container; add[java.awt.Component, java.lang.Object]; void; at.bestsolution.ext.swing.dialog.AlphaColorChooser; AlphaColorChooser[java.lang.String, java.awt.Color]; void; null; getContentPane()>
<javax.swing.JDialog; getContentPane[]; java.awt.Container; at.bestsolution.ext.swing.dialog.AlphaColorChooser; AlphaColorChooser[java.lang.String, java.awt.Color]; void; add[java.awt.Component, java.lang.Object]; this>
<java.awt.Color; getAlpha[]; int; at.bestsolution.ext.swing.dialog.AlphaColorChooser; AlphaColorChooser[java.lang.String, java.awt.Color]; void; null; color>
<javax.swing.JSlider; addChangeListener[javax.swing.event.ChangeListener]; void; at.bestsolution.ext.swing.dialog.AlphaColorChooser; AlphaColorChooser[java.lang.String, java.awt.Color]; void; null; slider_>
<javax.swing.JSlider; setMajorTickSpacing[int]; void; at.bestsolution.ext.swing.dialog.AlphaColorChooser; AlphaColorChooser[java.lang.String, java.awt.Color]; void; null; slider_>
<javax.swing.JSlider; setMinorTickSpacing[int]; void; at.bestsolution.ext.swing.dialog.AlphaColorChooser; AlphaColorChooser[java.lang.String, java.awt.Color]; void; null; slider_>
<javax.swing.JSlider; setPaintTicks[boolean]; void; at.bestsolution.ext.swing.dialog.AlphaColorChooser; AlphaColorChooser[java.lang.String, java.awt.Color]; void; null; slider_>
<javax.swing.JSlider; setPaintLabels[boolean]; void; at.bestsolution.ext.swing.dialog.AlphaColorChooser; AlphaColorChooser[java.lang.String, java.awt.Color]; void; null; slider_>
<javax.swing.JComponent; setBorder[javax.swing.border.Border]; void; at.bestsolution.ext.swing.dialog.AlphaColorChooser; AlphaColorChooser[java.lang.String, java.awt.Color]; void; null; slider_>
<javax.swing.BorderFactory; createTitledBorder[java.lang.String]; javax.swing.border.TitledBorder; at.bestsolution.ext.swing.dialog.AlphaColorChooser; AlphaColorChooser[java.lang.String, java.awt.Color]; void; null; BorderFactory>
<java.awt.Container; add[java.awt.Component, java.lang.Object]; void; at.bestsolution.ext.swing.dialog.AlphaColorChooser; AlphaColorChooser[java.lang.String, java.awt.Color]; void; null; getContentPane()>
<javax.swing.JDialog; getContentPane[]; java.awt.Container; at.bestsolution.ext.swing.dialog.AlphaColorChooser; AlphaColorChooser[java.lang.String, java.awt.Color]; void; add[java.awt.Component, java.lang.Object]; this>
<java.awt.Window; pack[]; void; at.bestsolution.ext.swing.dialog.AlphaColorChooser; AlphaColorChooser[java.lang.String, java.awt.Color]; void; null; this>
<javax.swing.JColorChooser; setColor[java.awt.Color]; void; at.bestsolution.ext.swing.dialog.AlphaColorChooser; stateChanged[javax.swing.event.ChangeEvent]; void; null; color_chooser_>
<at.bestsolution.ext.swing.dialog.AlphaColorChooser; getColor[]; java.awt.Color; at.bestsolution.ext.swing.dialog.AlphaColorChooser; stateChanged[javax.swing.event.ChangeEvent]; void; null; this>
<javax.swing.event.ChangeListener; stateChanged[javax.swing.event.ChangeEvent]; void; at.bestsolution.ext.swing.dialog.AlphaColorChooser; stateChanged[javax.swing.event.ChangeEvent]; void; null; change_listener_>
<javax.swing.JColorChooser; setColor[java.awt.Color]; void; at.bestsolution.ext.swing.dialog.AlphaColorChooser; setColor[java.awt.Color]; void; null; color_chooser_>
<javax.swing.JSlider; setValue[int]; void; at.bestsolution.ext.swing.dialog.AlphaColorChooser; setColor[java.awt.Color]; void; null; slider_>
<java.awt.Color; getAlpha[]; int; at.bestsolution.ext.swing.dialog.AlphaColorChooser; setColor[java.awt.Color]; void; null; new_color>
<javax.swing.JColorChooser; getColor[]; java.awt.Color; at.bestsolution.ext.swing.dialog.AlphaColorChooser; getColor[]; java.awt.Color; null; color_chooser_>
<java.awt.Color; getRed[]; int; at.bestsolution.ext.swing.dialog.AlphaColorChooser; getColor[]; java.awt.Color; null; chooser_color>
<java.awt.Color; getGreen[]; int; at.bestsolution.ext.swing.dialog.AlphaColorChooser; getColor[]; java.awt.Color; null; chooser_color>
<java.awt.Color; getBlue[]; int; at.bestsolution.ext.swing.dialog.AlphaColorChooser; getColor[]; java.awt.Color; null; chooser_color>
<javax.swing.JSlider; getValue[]; int; at.bestsolution.ext.swing.dialog.AlphaColorChooser; getColor[]; java.awt.Color; null; slider_>
<java.awt.Dialog; setTitle[java.lang.String]; void; at.bestsolution.ext.swing.dialog.JGradientChooser; JGradientChooser[java.lang.String]; void; null; this>
<java.awt.Dialog; setModal[boolean]; void; at.bestsolution.ext.swing.dialog.JGradientChooser; JGradientChooser[java.lang.String]; void; null; this>
<at.bestsolution.ext.swing.dialog.JGradientChooser; drawSurface[]; void; at.bestsolution.ext.swing.dialog.JGradientChooser; JGradientChooser[java.lang.String]; void; null; this>
<java.awt.Window; pack[]; void; at.bestsolution.ext.swing.dialog.JGradientChooser; JGradientChooser[java.lang.String]; void; null; this>
<java.awt.Container; setLayout[java.awt.LayoutManager]; void; at.bestsolution.ext.swing.dialog.JGradientChooser; drawSurface[]; void; null; getContentPane()>
<javax.swing.JDialog; getContentPane[]; java.awt.Container; at.bestsolution.ext.swing.dialog.JGradientChooser; drawSurface[]; void; setLayout[java.awt.LayoutManager]; this>
<java.awt.Container; setLayout[java.awt.LayoutManager]; void; at.bestsolution.ext.swing.dialog.JGradientChooser; drawSurface[]; void; null; control_panel>
<java.awt.Container; add[java.awt.Component]; java.awt.Component; at.bestsolution.ext.swing.dialog.JGradientChooser; drawSurface[]; void; null; control_panel>
<java.awt.Container; add[java.awt.Component]; java.awt.Component; at.bestsolution.ext.swing.dialog.JGradientChooser; drawSurface[]; void; null; control_panel>
<java.awt.Container; add[java.awt.Component]; java.awt.Component; at.bestsolution.ext.swing.dialog.JGradientChooser; drawSurface[]; void; null; control_panel>
<java.awt.Container; add[java.awt.Component]; java.awt.Component; at.bestsolution.ext.swing.dialog.JGradientChooser; drawSurface[]; void; null; control_panel>
<java.awt.Container; add[java.awt.Component, java.lang.Object]; void; at.bestsolution.ext.swing.dialog.JGradientChooser; drawSurface[]; void; null; getContentPane()>
<javax.swing.JDialog; getContentPane[]; java.awt.Container; at.bestsolution.ext.swing.dialog.JGradientChooser; drawSurface[]; void; add[java.awt.Component, java.lang.Object]; this>
<java.awt.Container; add[java.awt.Component]; java.awt.Component; at.bestsolution.ext.swing.dialog.JGradientChooser; drawSurface[]; void; null; button_panel>
<java.awt.Container; add[java.awt.Component, java.lang.Object]; void; at.bestsolution.ext.swing.dialog.JGradientChooser; drawSurface[]; void; null; getContentPane()>
<javax.swing.JDialog; getContentPane[]; java.awt.Container; at.bestsolution.ext.swing.dialog.JGradientChooser; drawSurface[]; void; add[java.awt.Component, java.lang.Object]; this>
<java.awt.Container; add[java.awt.Component]; java.awt.Component; at.bestsolution.ext.swing.dialog.JGradientChooser; drawSurface[]; void; null; button_panel>
<java.awt.Container; add[java.awt.Component, java.lang.Object]; void; at.bestsolution.ext.swing.dialog.JGradientChooser; drawSurface[]; void; null; getContentPane()>
<javax.swing.JDialog; getContentPane[]; java.awt.Container; at.bestsolution.ext.swing.dialog.JGradientChooser; drawSurface[]; void; add[java.awt.Component, java.lang.Object]; this>
<at.bestsolution.ext.swing.dialog.PreviewPanel; setChangeListener[javax.swing.event.ChangeListener]; void; at.bestsolution.ext.swing.dialog.JGradientChooser; drawSurface[]; void; null; preview_panel>
<java.awt.Container; add[java.awt.Component, java.lang.Object]; void; at.bestsolution.ext.swing.dialog.JGradientChooser; drawSurface[]; void; null; getContentPane()>
<javax.swing.JDialog; getContentPane[]; java.awt.Container; at.bestsolution.ext.swing.dialog.JGradientChooser; drawSurface[]; void; add[java.awt.Component, java.lang.Object]; this>
<javax.swing.JComponent; setBorder[javax.swing.border.Border]; void; at.bestsolution.ext.swing.dialog.JGradientChooser; drawSurface[]; void; null; ((JPanel)getContentPane())>
<javax.swing.JDialog; getContentPane[]; java.awt.Container; at.bestsolution.ext.swing.dialog.JGradientChooser; drawSurface[]; void; setBorder[javax.swing.border.Border]; this>
<javax.swing.BorderFactory; createEmptyBorder[int, int, int, int]; javax.swing.border.Border; at.bestsolution.ext.swing.dialog.JGradientChooser; drawSurface[]; void; null; BorderFactory>
<at.bestsolution.ext.swing.dialog.PreviewPanel; getGradient[]; org.apache.batik.ext.awt.MultipleGradientPaint; at.bestsolution.ext.swing.dialog.JGradientChooser; stateChanged[javax.swing.event.ChangeEvent]; void; null; ((PreviewPanel)e.getSource())>
<java.util.EventObject; getSource[]; java.lang.Object; at.bestsolution.ext.swing.dialog.JGradientChooser; stateChanged[javax.swing.event.ChangeEvent]; void; getGradient[]; e>
<javax.swing.event.ChangeListener; stateChanged[javax.swing.event.ChangeEvent]; void; at.bestsolution.ext.swing.dialog.JGradientChooser; stateChanged[javax.swing.event.ChangeEvent]; void; null; listener_icon_>
<javax.swing.JComponent; setPreferredSize[java.awt.Dimension]; void; at.bestsolution.ext.swing.dialog.FilePreviewer; FilePreviewer[javax.swing.JFileChooser]; void; null; this>
<java.awt.Container; addPropertyChangeListener[java.beans.PropertyChangeListener]; void; at.bestsolution.ext.swing.dialog.FilePreviewer; FilePreviewer[javax.swing.JFileChooser]; void; null; fc>
<java.io.File; getPath[]; java.lang.String; at.bestsolution.ext.swing.dialog.FilePreviewer; loadImage[java.io.File]; void; null; f>
<javax.swing.ImageIcon; getIconWidth[]; int; at.bestsolution.ext.swing.dialog.FilePreviewer; loadImage[java.io.File]; void; null; tmpIcon>
<java.awt.Image; getScaledInstance[int, int, int]; java.awt.Image; at.bestsolution.ext.swing.dialog.FilePreviewer; loadImage[java.io.File]; void; null; tmpIcon.getImage()>
<javax.swing.ImageIcon; getImage[]; java.awt.Image; at.bestsolution.ext.swing.dialog.FilePreviewer; loadImage[java.io.File]; void; getScaledInstance[int, int, int]; tmpIcon>
<java.beans.PropertyChangeEvent; getPropertyName[]; java.lang.String; at.bestsolution.ext.swing.dialog.FilePreviewer; propertyChange[java.beans.PropertyChangeEvent]; void; null; e>
<java.awt.Component; isShowing[]; boolean; at.bestsolution.ext.swing.dialog.FilePreviewer; propertyChange[java.beans.PropertyChangeEvent]; void; null; this>
<at.bestsolution.ext.swing.dialog.FilePreviewer; loadImage[java.io.File]; void; at.bestsolution.ext.swing.dialog.FilePreviewer; propertyChange[java.beans.PropertyChangeEvent]; void; null; this>
<java.beans.PropertyChangeEvent; getNewValue[]; java.lang.Object; at.bestsolution.ext.swing.dialog.FilePreviewer; propertyChange[java.beans.PropertyChangeEvent]; void; null; e>
<java.awt.Component; repaint[]; void; at.bestsolution.ext.swing.dialog.FilePreviewer; propertyChange[java.beans.PropertyChangeEvent]; void; null; this>
<javax.swing.JComponent; getWidth[]; int; at.bestsolution.ext.swing.dialog.FilePreviewer; paint[java.awt.Graphics]; void; null; this>
<javax.swing.ImageIcon; getIconWidth[]; int; at.bestsolution.ext.swing.dialog.FilePreviewer; paint[java.awt.Graphics]; void; null; thumbnail_>
<javax.swing.JComponent; getHeight[]; int; at.bestsolution.ext.swing.dialog.FilePreviewer; paint[java.awt.Graphics]; void; null; this>
<javax.swing.ImageIcon; getIconHeight[]; int; at.bestsolution.ext.swing.dialog.FilePreviewer; paint[java.awt.Graphics]; void; null; thumbnail_>
<javax.swing.ImageIcon; paintIcon[java.awt.Component, java.awt.Graphics, int, int]; void; at.bestsolution.ext.swing.dialog.FilePreviewer; paint[java.awt.Graphics]; void; null; thumbnail_>
<javax.swing.JComponent; setBorder[javax.swing.border.Border]; void; at.bestsolution.ext.swing.dialog.PreviewPanel; PreviewPanel[at.bestsolution.ext.swing.AlphaColorJButton, at.bestsolution.ext.swing.AlphaColorJButton, javax.swing.JComboBox, javax.swing.JComboBox]; void; null; this>
<javax.swing.BorderFactory; createLoweredBevelBorder[]; javax.swing.border.Border; at.bestsolution.ext.swing.dialog.PreviewPanel; PreviewPanel[at.bestsolution.ext.swing.AlphaColorJButton, at.bestsolution.ext.swing.AlphaColorJButton, javax.swing.JComboBox, javax.swing.JComboBox]; void; null; BorderFactory>
<javax.swing.JComponent; setMinimumSize[java.awt.Dimension]; void; at.bestsolution.ext.swing.dialog.PreviewPanel; PreviewPanel[at.bestsolution.ext.swing.AlphaColorJButton, at.bestsolution.ext.swing.AlphaColorJButton, javax.swing.JComboBox, javax.swing.JComboBox]; void; null; this>
<javax.swing.JComponent; setPreferredSize[java.awt.Dimension]; void; at.bestsolution.ext.swing.dialog.PreviewPanel; PreviewPanel[at.bestsolution.ext.swing.AlphaColorJButton, at.bestsolution.ext.swing.AlphaColorJButton, javax.swing.JComboBox, javax.swing.JComboBox]; void; null; this>
<javax.swing.JComponent; setMaximumSize[java.awt.Dimension]; void; at.bestsolution.ext.swing.dialog.PreviewPanel; PreviewPanel[at.bestsolution.ext.swing.AlphaColorJButton, at.bestsolution.ext.swing.AlphaColorJButton, javax.swing.JComboBox, javax.swing.JComboBox]; void; null; this>
<javax.swing.JComponent; setBackground[java.awt.Color]; void; at.bestsolution.ext.swing.dialog.PreviewPanel; PreviewPanel[at.bestsolution.ext.swing.AlphaColorJButton, at.bestsolution.ext.swing.AlphaColorJButton, javax.swing.JComboBox, javax.swing.JComboBox]; void; null; this>
<javax.swing.AbstractButton; addChangeListener[javax.swing.event.ChangeListener]; void; at.bestsolution.ext.swing.dialog.PreviewPanel; PreviewPanel[at.bestsolution.ext.swing.AlphaColorJButton, at.bestsolution.ext.swing.AlphaColorJButton, javax.swing.JComboBox, javax.swing.JComboBox]; void; null; button1_>
<javax.swing.AbstractButton; addChangeListener[javax.swing.event.ChangeListener]; void; at.bestsolution.ext.swing.dialog.PreviewPanel; PreviewPanel[at.bestsolution.ext.swing.AlphaColorJButton, at.bestsolution.ext.swing.AlphaColorJButton, javax.swing.JComboBox, javax.swing.JComboBox]; void; null; button2_>
<javax.swing.JComboBox; addItemListener[java.awt.event.ItemListener]; void; at.bestsolution.ext.swing.dialog.PreviewPanel; PreviewPanel[at.bestsolution.ext.swing.AlphaColorJButton, at.bestsolution.ext.swing.AlphaColorJButton, javax.swing.JComboBox, javax.swing.JComboBox]; void; null; type_>
<javax.swing.JComboBox; addItemListener[java.awt.event.ItemListener]; void; at.bestsolution.ext.swing.dialog.PreviewPanel; PreviewPanel[at.bestsolution.ext.swing.AlphaColorJButton, at.bestsolution.ext.swing.AlphaColorJButton, javax.swing.JComboBox, javax.swing.JComboBox]; void; null; repeat_>
<at.bestsolution.ext.swing.dialog.PreviewPanel; createGradient[]; void; at.bestsolution.ext.swing.dialog.PreviewPanel; paintComponent[java.awt.Graphics]; void; null; this>
<java.awt.Graphics2D; setPaint[java.awt.Paint]; void; at.bestsolution.ext.swing.dialog.PreviewPanel; paintComponent[java.awt.Graphics]; void; null; g>
<java.awt.Graphics2D; fill[java.awt.Shape]; void; at.bestsolution.ext.swing.dialog.PreviewPanel; paintComponent[java.awt.Graphics]; void; null; g>
